dataset_source,category_id,category_name,length_cm,width_cm,height_cm,typical_len_cm,min_len_cm,max_len_cm,source_reference,image_path
ABO Dataset,B07QH7KXMC,"AmazonBasics Performance Range 75-110"" Triple Arms Full Moti",43.0,42.8,87.4,87.4,85.65,89.15,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/c1/c133369c.jpg
ABO Dataset,B01GGKYAIU,Amazon Basics USB Type-C to Micro-B 2.0 Cable - 0.9 m - Blac,6.5,0.8,9.0,9.0,8.82,9.18,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/76/76d2728d.jpg
ABO Dataset,B07QD6ZV84,"Amazon Brand – Stone & Beam Mid-Century Rustic Vase, 8.66""H,",17.2,17.2,26.7,26.7,26.17,27.23,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/36/36dc1975.jpg
ABO Dataset,B081DDW5XT,AmazonBasics Heavy-Duty Aluminum Alloy Magnetic Spirit Level,39.62,6.6,3.05,39.62,38.83,40.41,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/9b/9bf03808.jpg
ABO Dataset,B07H28FD5N,Umi. Essentials Greenhouse for Tomato Foil Greenhouse Propag,103.12,20.98,9.91,103.12,101.06,105.18,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/ff/ffdbb93a.jpg
ABO Dataset,B07TP4WNNR,"AmazonBasics Induction Hob with Digital Display, Sensor Touc",56.49,35.99,6.48,56.49,55.36,57.62,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/63/6327ac65.jpg
ABO Dataset,B004HYFOZQ,"AmazonBasics Single-fan Laptop Cooling Stand (up to 17""/43cm",43.0,34.01,1.27,43.0,42.14,43.86,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/da/dae0b177.jpg
ABO Dataset,B07JM71BQC,Amazon Brand – Rivet Industrial Framed Bathroom Wall Vanity,110.08,79.6,2.03,110.08,107.88,112.28,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/ba/ba4696e6.jpg
ABO Dataset,B085D55BV6,"Amazon Brand - Jam & Honey Huggable Doll, Light Pink, 50cms",16.0,11.0,50.0,50.0,49.0,51.0,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/e5/e579d20a.jpg
ABO Dataset,B07GDKJVTN,"Amazon Brand - Solimo Oblique Silicone Ice Mould, Black",20.0,11.0,1.1,20.0,19.6,20.4,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/ea/ea37c787.jpg
ABO Dataset,B075NHVPPN,AmazonBasics Aluminum Frame Cork Notice Board 90cm x 60cm,89.99,1.02,59.99,89.99,88.19,91.79,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/2e/2e39f514.jpg
ABO Dataset,B07TMFB4JC,AmazonCommercial Single 14 inches Jumbo Roll Toilet Paper Di,37.01,13.0,38.99,38.99,38.21,39.77,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/f4/f4fccaa7.jpg
ABO Dataset,B07B4MTFSC,Amazon Brand – Stone & Beam Andover Leather Living Room Acce,104.14,78.74,104.14,104.14,102.06,106.22,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/bf/bfaac614.jpg
ABO Dataset,B074H54MHX,"365 Everyday Value, Organic Applewood Smoked Turkey Breast,",22.86,13.79,1.91,22.86,22.4,23.32,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/93/9308ecfc.jpg
ABO Dataset,B07FX4B8QC,"Eono Essentials Essential Makeup Eyeshadow Brush Set,7- Piec",1.5,5.51,19.0,19.0,18.62,19.38,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/6b/6b295c0c.jpg
ABO Dataset,B00BCEJ0E0,AmazonBasics Wireless Remote Control for Canon Cameras EOS 6,6.05,2.87,0.74,6.05,5.93,6.17,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/3a/3a10a9b5.jpg
ABO Dataset,B07GXV7ZJ7,"AmazonBasics Compostable Plate, 3 compartment, 9-Inches, 500",22.5,22.5,1.8,22.5,22.05,22.95,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/07/07134bfd.jpg
ABO Dataset,B00JZVPKE6,AmazonBasics Mini Bluetooth Speaker - Gray,8.38,4.57,6.6,8.38,8.21,8.55,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/57/574064e8.jpg
ABO Dataset,B074T15TF6,AmazonBasics iPhone 8 Plus / 7 Plus PU Leather Wallet Detach,8.38,1.52,16.26,16.26,15.93,16.59,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/e2/e2aca312.jpg
ABO Dataset,B01HTF8Y5Q,10K Gold Dainty Swarovski Elements Birthstone Pendant with G,12.7,12.7,1.78,12.7,12.45,12.95,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/01/01fd4349.jpg
ABO Dataset,B07G7PCXB4,"AmazonBasics Memory Foam Rest Nap Mats with Name Tag Holder,",121.92,55.88,31.75,121.92,119.48,124.36,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/91/913270eb.jpg
ABO Dataset,B07SM8VGS5,"AmazonBasics 1/2"" Round Ring Binder, Blue, View, 6-Pack",25.73,3.17,29.54,29.54,28.95,30.13,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/a7/a7571874.jpg
ABO Dataset,B07V6DX32Y,"AmazonCommercial 18-inch push broom kit, fine floor, 6-pack.",160.02,12.95,45.72,160.02,156.82,163.22,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/d4/d4a99b77.jpg
ABO Dataset,B01MZ841R3,AmazonBasics Floating Waterproof GoPro Mount Hand Grip Handl,6.35,4.06,15.49,15.49,15.18,15.8,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/79/7950899a.jpg
ABO Dataset,B07L44L1GP,AmazonBasics 1.5 Ton 5 Star 2020 Inverter Split AC (Copper C,87.0,27.0,20.0,87.0,85.26,88.74,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/a5/a54fc793.jpg
ABO Dataset,B07TD594FY,"Amazon Brand - Solimo Work Gel Insoles, Men's Size 8-14 (1 P",34.92,12.19,3.81,34.92,34.22,35.62,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/9c/9c6b4066.jpg
ABO Dataset,B07QFRSM5D,"Stone & Beam Glenwilde Queen Headboard, 75""W, Cream",190.5,27.94,132.08,190.5,186.69,194.31,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/4d/4d0dff93.jpg
ABO Dataset,B073V2X86F,Amazon Basics Travel Compression Bag Vacuum Cleaner No 10 Pc,69.6,49.28,0.17,69.6,68.21,70.99,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/15/15c06c7a.jpg
ABO Dataset,B07DC4S1J9,"AmazonBasics 32 Oz Bottle Label, Air Freshener Refill, Laven",15.24,20.32,0.64,20.32,19.91,20.73,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/20/20a7c775.jpg
ABO Dataset,B08DJ5N92Q,"AmazonCommercial Silicone Straws, 6 Straws and 2 Brushes",26.01,0.71,0.7,26.01,25.49,26.53,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/35/3595924e.jpg
ABO Dataset,B07NWZW551,"AmazonBasics 1/4-Inch Thick TPE Yoga Mat 6 Piece Set, IRYJT0",60.96,30.99,13.46,60.96,59.74,62.18,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/b8/b8529fe1.jpg
ABO Dataset,B07QJNK5PF,"AmazonBasics AMZN-G30CB Filtration System | 30,000 Gallons,",11.18,11.18,32.51,32.51,31.86,33.16,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/2b/2b260468.jpg
ABO Dataset,B07HMMPC5R,AmazonBasics Laundry Basket with Magnetic Lid and Removable,35.56,35.56,58.42,58.42,57.25,59.59,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/45/454426b9.jpg
ABO Dataset,B07FWN7W4K,"365 Everyday Value, Butter Pecan Ice Cream, 48 oz (Frozen)",10.29,17.91,13.46,17.91,17.55,18.27,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/34/348f2851.jpg
ABO Dataset,B07W35NSLH,AmazonBasics Multi-Use Stainless Steel Cheese Knife,26.67,3.05,2.29,26.67,26.14,27.2,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/1b/1b5984ce.jpg
ABO Dataset,B083BG3L65,"AmazonBasics Ratcheting Wrench Set - Metric and SAE, 20-Piec",48.01,27.99,2.31,48.01,47.05,48.97,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/da/da2daf1f.jpg
ABO Dataset,B08HKSWD64,AmazonBasics Gaming Keyboard (Renewed),50.16,19.56,3.89,50.16,49.16,51.16,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/48/48a2b323.jpg
ABO Dataset,B075YLTF7Q,"Amazon Brand – Rivet Vintage U.S. Parks Montana Poster, Blac",58.42,48.26,1.91,58.42,57.25,59.59,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/d7/d7001d81.jpg
ABO Dataset,B083D3DXDT,"AmazonBasics Earphones with Lightning Connector, Apple MFi C",115.82,1.65,1.75,115.82,113.5,118.14,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/76/76eeef00.jpg
ABO Dataset,B07ZD939J8,Amazon Brand: Solimo Mouthwash 70906005,16.9,16.9,17.6,17.6,17.25,17.95,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/6c/6c476afd.jpg
ABO Dataset,B07TL48Z5M,AmazonCommercial 35QT Mop Bucket and Down Press - Yellow,64.49,42.01,86.51,86.51,84.78,88.24,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/94/94b8b999.jpg
ABO Dataset,B07P8SSZFZ,Amazon Brand – Rivet Ava Mid-Century Modern Upholstered Otto,161.04,65.02,39.88,161.04,157.82,164.26,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/99/99f7a13a.jpg
ABO Dataset,B07TWFDN96,AmazonBasics Angled Head High Leverage Diagonal Cutters - 8-,20.32,5.08,2.79,20.32,19.91,20.73,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/e4/e458ef25.jpg
ABO Dataset,B08D9RTHVQ,"AmazonBasics Wallpaper Kit with Soft Grip Brushes, 7-Pieces",35.56,19.68,4.45,35.56,34.85,36.27,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/35/3595924e.jpg
ABO Dataset,B07FYKDLTS,AmazonBasics Capacitive Stylus Pen for Touchscreen Devices -,11.43,0.76,1.02,11.43,11.2,11.66,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/f3/f3f7f845.jpg
ABO Dataset,B07HZ763CZ,"Amazon Brand – Stone & Beam Bagley Sectional Component, Wedg",106.68,91.44,175.26,175.26,171.75,178.77,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/53/538fb98d.jpg
ABO Dataset,B01JGHHFXM,AmazonBasics Pillow Rest Single Size Premium Airbed with Bui,203.0,152.0,46.0,203.0,198.94,207.06,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/64/64887574.jpg
ABO Dataset,B0775XKM83,AmazonBasics Traditional Euro Toilet Paper Holder - Chrome,17.27,7.11,7.62,17.27,16.92,17.62,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/53/5354945f.jpg
ABO Dataset,B073P5Y9TC,Amazon Brand – Stone & Beam Modern 9-Piece Green and Brown G,152.4,1.27,152.4,152.4,149.35,155.45,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/fd/fd0cbd26.jpg
ABO Dataset,B07P5LLX43,Amazon Brand – Stone & Beam Lauren Down Filled Oversized Ott,11.99,119.99,48.01,119.99,117.59,122.39,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/33/33794771.jpg
ABO Dataset,B073WHZKBF,Amazon Brand – Rivet Modern Hexagon Wood Frame Hanging Wall,76.2,8.89,66.04,76.2,74.68,77.72,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/66/661be4d8.jpg
ABO Dataset,B073WGP8YJ,Amazon Brand – Stone & Beam Curved Vintage-Look Wood Frame W,40.64,2.54,71.12,71.12,69.7,72.54,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/65/659dbf9b.jpg
ABO Dataset,B07ZKZTB5K,"AmazonBasics Adjustable 36-Inch Bungee Cords, 2-Tone: Yellow",91.44,2.49,2.21,91.44,89.61,93.27,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/71/71433906.jpg
ABO Dataset,B07D8X6CK8,AmazonBasics Programmable Mechanical Gaming Keyboard | RGB L,56.0,25.8,4.8,56.0,54.88,57.12,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/dd/dd5960fa.jpg
ABO Dataset,B072Z1WN4S,AmazonBasics Flat Weight Workout Exercise Bench - 41 x 20 x,103.99,28.5,45.49,103.99,101.91,106.07,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/fc/fc187259.jpg
ABO Dataset,B07CMMPR4Y,"AmazonFresh Organic Extra Virgin Olive Oil, 1.5L  (50.7 FL O",9.5,9.5,27.18,27.18,26.64,27.72,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/52/5290ca68.jpg
ABO Dataset,B07YP93W8Z,AmazonBasics Double Braided Nylon USB-C to USB-C 3.1 Gen 2 C,91.44,1.23,0.72,91.44,89.61,93.27,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/36/36200d86.jpg
ABO Dataset,B07TVPPJYN,"AmazonBasics Wooden Dice Set, 11""x11""x11""",11.0,11.0,11.0,11.0,10.78,11.22,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/2b/2bd77f74.jpg
ABO Dataset,B0825H2H3C,AmazonBasics Ni-MH AA & AAA Battery Charger With USB Port fo,11.43,6.99,3.81,11.43,11.2,11.66,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/12/12073f6f.jpg
ABO Dataset,B0092ZJWHQ,AmazonBasics Secure Digital Memory Card Case (Black),12.7,8.26,2.54,12.7,12.45,12.95,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/9c/9cd6f08f.jpg
ABO Dataset,B07VWCQF9W,AmazonBasics USB 2.0 to 10/100 Ethernet Port LAN Internet Ne,16.61,2.11,1.35,16.61,16.28,16.94,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/64/6472c7f7.jpg
ABO Dataset,B07S74D9T7,"AmazonBasics Adjustable Speaker Stand - 3.8 to 6-Foot, Steel",11.51,11.51,96.39,96.39,94.46,98.32,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/2b/2b90e918.jpg
ABO Dataset,B07RD7GF7W,Amazon Brand - Solimo Mars Engineered Wood Queen Bed with St,159.5,206.5,88.5,206.5,202.37,210.63,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/45/45879385.jpg
ABO Dataset,B0844421VQ,"AmazonBasics Silicone Round Cake Pan, 23 cm, Red",30.48,29.01,7.01,30.48,29.87,31.09,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/95/955840eb.jpg
ABO Dataset,B0719QB6HW,Amazon Brand - Solimo Premium High-Carbon Stainless Steel Ut,26.6,8.6,3.0,26.6,26.07,27.13,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/e5/e5c7cf54.jpg
ABO Dataset,B07QYTR5GF,"AmazonBasics LED E27 Edison Screw Bulb, 14W (equivalent to 1",12.0,6.5,12.0,12.0,11.76,12.24,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/c8/c8f93575.jpg
ABO Dataset,B07763QC8F,"AmazonBasics Euro Toilet Roll Holder, AB-BR821-PC",53.85,4.06,6.1,53.85,52.77,54.93,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/a6/a63d08a6.jpg
ABO Dataset,B07NR78FHT,"365 Everyday Value, Pretzel Pieces Ranch Jalapeno Southwest",4.32,13.97,21.59,21.59,21.16,22.02,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/03/032a6fec.jpg
ABO Dataset,B07K6M8HKR,"AmazonBasics Heavy Duty Non-Slip Bed Frame with Steel Slats,",190.5,99.06,35.56,190.5,186.69,194.31,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/31/31bec002.jpg
ABO Dataset,B07FFXWH7V,AmazonBasics Accessory Tray,18.03,18.03,3.81,18.03,17.67,18.39,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/ac/ac4de0de.jpg
ABO Dataset,B08H8F7B7V,AmazonBasics 12-Sheet Cross-Cut Paper and Credit Card Home O,33.71,23.6,37.01,37.01,36.27,37.75,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/78/7834691d.jpg
ABO Dataset,B074H5J2VH,"365 Everyday Value, Sesame Rice Crackers, 3.57 oz",26.16,5.46,10.67,26.16,25.64,26.68,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/09/0939ee6d.jpg
ABO Dataset,B07M5GNWHY,Amazon Brand - Mama Bear Non-Slip Suction Bowl (Blue),15.0,15.0,6.0,15.0,14.7,15.3,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/60/605f7cd8.jpg
ABO Dataset,B07TFDCPKZ,AmazonBasics 2-Pack Linen Style Decorative Throw Pillows - 1,45.72,45.72,20.32,45.72,44.81,46.63,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/63/63105b6d.jpg
ABO Dataset,B07PRM2VX5,AmazonBasics Wall mounted kitchen roll holder with grooves f,34.92,6.99,11.13,34.92,34.22,35.62,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/50/5077a487.jpg
ABO Dataset,B0775YPJ5C,"AmazonBasics AB-BR815-SN Bathroom Hardware Set, 3 Piece, Sat",62.0,8.51,7.49,62.0,60.76,63.24,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/fe/fe7aaa0a.jpg
ABO Dataset,B0825DZN66,Amazon Brand – Rivet Modern Metal Dome-Shaped Skinny Stem Fl,33.02,33.02,147.96,147.96,145.0,150.92,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/f9/f9215895.jpg
ABO Dataset,B0749W93V4,AmazonBasics Blackout Rollo Blind with Matched Colour Coatin,59.94,3.05,3.05,59.94,58.74,61.14,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/33/33bed00b.jpg
ABO Dataset,B07PQ7KYSF,"AmazonBasics Slim Privacy Screen Filter for 7.9"" iPad Mini 4",19.63,13.11,0.04,19.63,19.24,20.02,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/34/342d52d9.jpg
ABO Dataset,B07M6PHM8C,Amazon Brand – Ravenna Home Classic Glass Semi-flush Mount L,42.24,42.55,31.45,42.55,41.7,43.4,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/6f/6f384811.jpg
ABO Dataset,B08BRJX94R,Women Men Face Mask Scarf Outdoor Headwear Bandana Sports Tu,23.0,22.0,0.5,23.0,22.54,23.46,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/db/dbf4f50a.jpg
ABO Dataset,B07T8BR9RG,AmazonBasics Zinc Alloy Guitar Capo for Acoustic and Electri,8.99,7.29,1.3,8.99,8.81,9.17,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/d7/d72ec426.jpg
ABO Dataset,B07HKCJPL2,Amazon Brand – Stone & Beam Modern Traditional Decorative Me,15.24,15.24,35.61,35.61,34.9,36.32,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/e4/e4793879.jpg
ABO Dataset,B07ZVLRCSG,"AmazonBasics Recycled Wood Deck Hanging Planter - 2-Pack, 18",48.01,19.99,19.05,48.01,47.05,48.97,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/f3/f304cb9c.jpg
ABO Dataset,B074DD3NS5,"AmazonBasics Portable Digital Tyre Inflator, Dual Battery Cl",30.0,22.45,21.49,30.0,29.4,30.6,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/31/31f654a0.jpg
ABO Dataset,B07TC8QHHS,"AmazonBasics 3W LED Integrated Recessed Spotlight, Slim Styl",8.4,8.4,3.04,8.4,8.23,8.57,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/12/12546b45.jpg
ABO Dataset,B07GF12S2P,"Amazon Brand - Solimo 4 Cavity Silicone Ice Tray, Black",11.0,4.8,11.0,11.0,10.78,11.22,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/f5/f59d98ba.jpg
ABO Dataset,B07FR53L72,"Amazon Essentials Sal Women's Thong Sandal, Women’s Sal Wome",18.62,29.01,3.02,29.01,28.43,29.59,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/04/046766ff.jpg
ABO Dataset,B07T9TFDHT,Amazon Brand - Mama Bear Plant Based Baby Laundry Detergent,9.1,15.5,29.2,29.2,28.62,29.78,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/db/dbb765c4.jpg
ABO Dataset,B07B7FH3S6,Amazon Brand – Stone & Beam Gazelle Rustic Metal Nesting Tab,132.08,50.8,66.04,132.08,129.44,134.72,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/b9/b93ae3a2.jpg
ABO Dataset,B07NRK948N,"365 by Whole Foods Market, Liquid Personal Lubricant, Water-",3.56,5.21,13.08,13.08,12.82,13.34,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/b1/b1f1dee7.jpg
ABO Dataset,B083T4NV3D,"AmazonBasics Hitch Racks for 2 in. Hitch-3-Bike, Black, NA M",89.99,32.0,100.0,100.0,98.0,102.0,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/32/32e34f40.jpg
ABO Dataset,B08283HK56,Amazon Brand - Solimo Breakfast Bags - 60 Paper Bags (19 cm,20.0,13.0,3.0,20.0,19.6,20.4,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/0e/0e8625d2.jpg
ABO Dataset,B07RTZ54B1,"Amazon Basics Rectangular Wall Mirror 30"" x 40"" - Standard T",76.2,3.94,101.6,101.6,99.57,103.63,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/55/554f26da.jpg
ABO Dataset,B07RP8T4RB,"AmazonBasics Moving Boxes - Small, 16"" x 10"" x 10"", 25-Pack",66.04,20.32,53.34,66.04,64.72,67.36,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/16/16ceae19.jpg
ABO Dataset,B07SRXJF1W,"AmazonCommercial 1 HP Portable Lawn Sprinkler Pump, Stainles",56.13,24.64,24.38,56.13,55.01,57.25,Verified ABO 3D Metadata,/projectnb/ivc-ml/lingxiao/Datasets/Amazon-Berkeley-Objects/images/original/60/60f4bd3a.jpg
